"","Start_Year","District","Just_Seat_Num","Winner_Name","fund_perc","fund_perc_alt","Total_Rs","Ruling_Party_Margin","same_party","Vic_Mar","Previous_MNA","Previous_MNA_Terms","Min_CurrentOrPast","Min_CurrentOrPast_Imp","Election_Year","Turnout_perc","Reg_Voters","Rej_Votes","Num_Cand","ENP_Method1","MofV_sq","MofV_cu","RP_Margin_quar","pmln_gov","zero_to_elec"
"1",1991,"Attock",41,"Sheikh Aftab Ahmed",133.04,100,6.652,0.188054405677114,1,0.188054405677114,0,0,0,0,1990,50.49206479,244480,1142,5,2.030767133,0.0353644594945726,0.00665044241234422,0.00125064499534326,1,0
"2",1992,"Attock",41,"Sheikh Aftab Ahmed",32.9,32.9,1.645,0.188054405677114,1,0.188054405677114,0,0,0,0,1990,50.49206479,244480,1142,5,2.030767133,0.0353644594945726,0.00665044241234422,0.00125064499534326,1,0
"3",1991,"Attock",42,"Malik Allah Yar Khan",223.04,100,11.152,0.0818792029043571,1,0.0818792029043572,0,0,0,0,1990,56.5655333,286816,2370,5,2.911828107,0.00670420386825288,0.000548934868840853,4.49463495070969e-05,1,0
"4",1992,"Attock",42,"Malik Allah Yar Khan",150.32,100,7.516,0.0818792029043571,1,0.0818792029043572,0,0,0,0,1990,56.5655333,286816,2370,5,2.911828107,0.00670420386825288,0.000548934868840853,4.49463495070969e-05,1,0
"5",1993,"Attock",41,"Sheikh Aftab Ahmed",0,0,0,-0.124679280387714,0,0.124679280387714,1,1,0,0,1993,52.03829066,256146,1991,4,2.168689664,0.0155449229579982,-0.00193812980808567,0.0002416446297701,0,1
"6",1994,"Attock",41,"Sheikh Aftab Ahmed",51.5,51.5,2.575,-0.124679280387714,0,0.124679280387714,1,1,0,0,1993,52.03829066,256146,1991,4,2.168689664,0.0155449229579982,-0.00193812980808567,0.0002416446297701,0,0
"7",1995,"Attock",41,"Sheikh Aftab Ahmed",18,18,0.9,-0.124679280387714,0,0.124679280387714,1,1,0,0,1993,52.03829066,256146,1991,4,2.168689664,0.0155449229579982,-0.00193812980808567,0.0002416446297701,0,0
"8",1996,"Attock",41,"Sheikh Aftab Ahmed",0,0,0,-0.124679280387714,0,0.124679280387714,1,1,0,0,1993,52.03829066,256146,1991,4,2.168689664,0.0155449229579982,-0.00193812980808567,0.0002416446297701,0,0
"9",1993,"Attock",42,"Malik Lal Khan",0,0,0,-0.0505072810471949,0,0.0505072810471949,0,0,0,0,1993,55.97766744,291234,2612,4,3.128391009,0.00255098543878033,-0.00012884333850378,6.50752670886929e-06,0,1
"10",1994,"Attock",42,"Malik Lal Khan",29.6,29.6,1.48,-0.0505072810471949,0,0.0505072810471949,0,0,0,0,1993,55.97766744,291234,2612,4,3.128391009,0.00255098543878033,-0.00012884333850378,6.50752670886929e-06,0,0
"11",1995,"Attock",42,"Malik Lal Khan",19,19,0.95,-0.0505072810471949,0,0.0505072810471949,0,0,0,0,1993,55.97766744,291234,2612,4,3.128391009,0.00255098543878033,-0.00012884333850378,6.50752670886929e-06,0,0
"12",1996,"Attock",42,"Malik Lal Khan",0,0,0,-0.0505072810471949,0,0.0505072810471949,0,0,0,0,1993,55.97766744,291234,2612,4,3.128391009,0.00255098543878033,-0.00012884333850378,6.50752670886929e-06,0,0
"13",1998,"Attock",41,"Sheikh Aftab Ahmed",177.5,100,8.875,0.27863596872285,1,0.27863596872285,1,2,0,0,1997,43.46364876,264819,3351,5,2.154273638,0.0776380030661211,0.0216327401940362,0.00602765952009502,1,0
"14",1998,"Attock",42,"Malik Lal Khan",0,0,0,0.154510877036785,1,0.154510877036785,1,1,0,0,1997,51.11343111,298851,4265,3,2.060786367,0.0238736111226765,0.00368873259259989,0.000569949308036783,1,0
"15",2008,"Attock",59,"Sardar Saleem Haider Khan",100,100,10,0.0781991705391495,1,0.0781991705391496,0,0,0,0,2008,60.68016176,263849,4150,4,2.664221107,0.00611511027301099,0.000478196551104891,3.73945736510845e-05,0,1
"16",2009,"Attock",59,"Sardar Saleem Haider Khan",200,100,20,0.0781991705391495,1,0.0781991705391496,0,0,0,0,2008,60.68016176,263849,4150,4,2.664221107,0.00611511027301099,0.000478196551104891,3.73945736510845e-05,0,0
"17",2010,"Attock",59,"Sardar Saleem Haider Khan",102,100,10.2,0.0781991705391495,1,0.0781991705391496,0,0,0,0,2008,60.68016176,263849,4150,4,2.664221107,0.00611511027301099,0.000478196551104891,3.73945736510845e-05,0,0
"18",2011,"Attock",59,"Sardar Saleem Haider Khan",100,100,10,0.0781991705391495,1,0.0781991705391496,0,0,0,0,2008,60.68016176,263849,4150,4,2.664221107,0.00611511027301099,0.000478196551104891,3.73945736510845e-05,0,0
"19",2012,"Attock",59,"Sardar Saleem Haider Khan",100,100,10,0.0781991705391495,1,0.0781991705391496,0,0,0,0,2008,60.68016176,263849,4150,4,2.664221107,0.00611511027301099,0.000478196551104891,3.73945736510845e-05,0,0
"20",1991,"Bahawalnagar",145,"Mian Abdul Sattar Laleka",73.38,73.38,3.669,0.138425608098103,1,0.138425608098103,1,1,1,0,1990,54.07299844,274773,2160,4,2.089763406,0.0191616489773296,0.00265246291184924,0.000367168791530396,1,0
"21",1992,"Bahawalnagar",145,"Mian Abdul Sattar Laleka",96.2,96.2,4.81,0.138425608098103,1,0.138425608098103,1,1,1,0,1990,54.07299844,274773,2160,4,2.089763406,0.0191616489773296,0.00265246291184924,0.000367168791530396,1,0
"22",1991,"Bahawalnagar",146,"Chaudhry Abdul Ghafoor",230.74,100,11.537,0.0602383235173264,1,0.0602383235173264,1,1,0,0,1990,54.41097013,268365,1517,6,2.093034682,0.00362865562017808,0.000218584131181252,1.316714160985e-05,1,0
"23",1992,"Bahawalnagar",146,"Chaudhry Abdul Ghafoor",153.5,100,7.675,0.0602383235173264,1,0.0602383235173264,1,1,0,0,1990,54.41097013,268365,1517,6,2.093034682,0.00362865562017808,0.000218584131181252,1.316714160985e-05,1,0
"24",1993,"Bahawalnagar",145,"Mian Mumtaz Ahmed Matiana",0,0,0,0.114495845714544,1,0.114495845714544,0,0,0,0,1993,52.89390602,293306,1567,5,2.121876081,0.0131092986858887,0.00150096023976538,0.000171853712035842,0,1
"25",1994,"Bahawalnagar",145,"Mian Mumtaz Ahmed Matiana",0,0,0,0.114495845714544,1,0.114495845714544,0,0,0,0,1993,52.89390602,293306,1567,5,2.121876081,0.0131092986858887,0.00150096023976538,0.000171853712035842,0,0
"26",1995,"Bahawalnagar",145,"Mian Mumtaz Ahmed Matiana",0,0,0,0.114495845714544,1,0.114495845714544,0,0,0,0,1993,52.89390602,293306,1567,5,2.121876081,0.0131092986858887,0.00150096023976538,0.000171853712035842,0,0
"27",1996,"Bahawalnagar",145,"Mian Mumtaz Ahmed Matiana",0,0,0,0.114495845714544,1,0.114495845714544,0,0,0,0,1993,52.89390602,293306,1567,5,2.121876081,0.0131092986858887,0.00150096023976538,0.000171853712035842,0,0
"28",1993,"Bahawalnagar",146,"Ali Akbar Mazhar Wains",159.02,100,7.951,0.195601222386243,1,0.195601222386243,0,0,0,0,1993,53.14276277,290636,1198,4,2.046794409,0.0382598381989925,0.0074836711200228,0.00146381521901308,0,1
"29",1994,"Bahawalnagar",146,"Ali Akbar Mazhar Wains",100,100,5,0.195601222386243,1,0.195601222386243,0,0,0,0,1993,53.14276277,290636,1198,4,2.046794409,0.0382598381989925,0.0074836711200228,0.00146381521901308,0,0
"30",1995,"Bahawalnagar",146,"Ali Akbar Mazhar Wains",222,100,11.1,0.195601222386243,1,0.195601222386243,0,0,0,0,1993,53.14276277,290636,1198,4,2.046794409,0.0382598381989925,0.0074836711200228,0.00146381521901308,0,0
"31",1996,"Bahawalnagar",146,"Ali Akbar Mazhar Wains",46,46,2.3,0.195601222386243,1,0.195601222386243,0,0,0,0,1993,53.14276277,290636,1198,4,2.046794409,0.0382598381989925,0.0074836711200228,0.00146381521901308,0,0
