id,district,treatment,pre_tax,post_tax
1,Snake Lounge,0,1687.643767,1705.579059
2,Snake Lounge,0,427.2952743,438.2526357
3,Snake Lounge,0,566.4692617,559.6663985
4,Snake Lounge,0,606.9293907,623.9057063
5,Snake Lounge,0,572.6402485,606.8654255
6,Snake Lounge,0,496.0813226,501.8001231
7,Snake Lounge,0,658.7282996,670.4384607
8,Snake Lounge,0,497.8011442,522.3218593
9,Snake Lounge,0,814.7635571,846.2048956
10,Snake Lounge,0,502.5928851,509.9524508
11,Snake Lounge,0,707.7304481,717.4277074
12,Snake Lounge,0,854.9968089,852.3405974
13,Snake Lounge,0,223.6708948,240.8227302
14,Snake Lounge,0,470.181685,498.4996983
15,Snake Lounge,0,492.0017995,506.8414503
16,Snake Lounge,0,607.3925597,631.5254514
17,Snake Lounge,0,469.3620618,485.5909963
18,Snake Lounge,0,113.5316869,131.8646701
19,Snake Lounge,0,65.92996071,91.2752974
20,Snake Lounge,0,710.0170019,731.2946781
21,Snake Lounge,0,466.0042109,462.5377665
22,Snake Lounge,0,244.8037349,272.1790518
23,Snake Lounge,0,486.2123966,501.8310867
24,Snake Lounge,0,694.2012049,732.3274707
25,Snake Lounge,0,716.2790192,756.9663033
26,Snake Lounge,0,447.4296303,453.5943628
27,Snake Lounge,0,473.4095926,507.5228148
28,Snake Lounge,0,247.5255372,265.1944122
29,Snake Lounge,0,581.0146032,592.4960018
30,Snake Lounge,0,416.0007686,432.2266476
31,Snake Lounge,0,500.3175185,520.5996132
32,Snake Lounge,0,617.7256006,631.7498602
33,Snake Lounge,0,667.2655283,673.2690543
34,Snake Lounge,0,420.6610437,438.7263237
35,Snake Lounge,0,587.7432685,592.1062161
36,Snake Lounge,0,254.4486981,268.5679393
37,Snake Lounge,0,464.3311487,491.4234979
38,Snake Lounge,0,384.3638609,387.6007882
39,Snake Lounge,0,149.8688525,164.2228321
40,Snake Lounge,0,517.418391,540.130743
41,Snake Lounge,0,542.89979,559.0422594
42,Snake Lounge,0,457.8414052,469.2780829
43,Snake Lounge,0,545.7244854,552.4466441
44,Snake Lounge,0,402.9942759,417.2702102
45,Snake Lounge,0,306.7578433,336.4942326
46,Snake Lounge,0,576.9227039,588.0419918
47,Snake Lounge,0,390.2910236,401.6754235
48,Snake Lounge,0,728.6151893,746.693018
